VA NOT-FOUND (proposed VA->VC downgrades) = 98
VSME                 section-b03_200.md                     claimed=   9 pdf=  10 PAGE-OUT-OF-RANGE
VSME                 section-b03_300.md                     claimed=   9 pdf=  10 PAGE-OUT-OF-RANGE
VSME                 section-b05_000.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b06_000.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b07_000.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b07_100.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b07_200.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b08_000.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b08_100.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b08_300.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b09_000.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b10_000.md                     claimed=  10 pdf=  11 PAGE-OUT-OF-RANGE
VSME                 section-b11_000.md                     claimed=  11 pdf=  12 PAGE-OUT-OF-RANGE
VSME                 section-c09_000.md                     claimed=  14 pdf=  15 PAGE-OUT-OF-RANGE
